receita,nacionalidade,ingredientes,categoria,ocasião,tempo,dificuldade,calorias,açúcar,sódio,proteínas,carboidratos,feedback
Churrasco,Brasileira,"['Carne', 'Sal grosso', 'Picanha', 'Linguíça', 'Cerveja']",Carne,Almoço,40,Médio,380,0g,300mg,35g,5g,1
Omelete de Queijo,Internacional,"['Ovo', 'Queijo', 'Tomate', 'Cebola', 'Salsinha']",Vegetariano,Café da manhã,15,Fácil,200,2g,150mg,15g,10g,0
Yakissoba,Japonesa,"['Macarrão', 'Frango', 'Legumes', 'Molho de soja', 'Cebola']",Carne,Jantar,30,Médio,300,4g,200mg,20g,35g,1
Brigadeiro,Brasileira,"['Leite condensado', 'Chocolate em pó', 'Manteiga']",Sobremesa,Lanche,20,Fácil,150,20g,50mg,3g,20g,1
Caesar Salad,Americana,"['Alface romana', 'Frango grelhado', 'Croutons', 'Queijo parmesão', 'Molho Caesar']",Salada,Almoço,20,Médio,280,3g,300mg,20g,15g,1
Rabanada,Internacional,"['Pão', 'Leite', 'Ovo', 'Açúcar', 'Canela']",Sobremesa,Café da manhã,25,Fácil,180,15g,100mg,5g,20g,1
Shakshuka,Israelense,"['Ovo', 'Tomate', 'Pimentão', 'Cebola', 'Cominho']",Vegetariano,Café da manhã,30,Fácil,220,5g,200mg,15g,10g,0
Salada de Quinoa,Internacional,"['Quinoa', 'Tomate', 'Pepino', 'Cebola', 'Salsa']",Salada,Almoço,20,Fácil,250,3g,150mg,8g,30g,0
Empadão de Frango,Brasileira,"['Massa para empadão', 'Frango desfiado', 'Azeitona', 'Milho', 'Creme de leite']",Aves,Jantar,50,Médio,300,4g,250mg,20g,25g,1
Ravióli de Ricota e Espinafre,Italiana,"['Massa para ravióli', 'Ricota', 'Espinafre', 'Molho de tomate', 'Queijo parmesão']",Vegetariano,Jantar,40,Médio,350,3g,300mg,15g,30g,0
Salada de Macarrão,Internacional,"['Macarrão', 'Presunto', 'Queijo', 'Tomate', 'Maionese']",Salada,Almoço,25,Fácil,280,2g,200mg,15g,20g,1
Vitamina de Morango,Internacional,"['Morango', 'Leite', 'Iogurte', 'Mel', 'Canela']",Bebida,Café da manhã,10,Fácil,150,20g,50mg,5g,25g,1
Frango ao Curry,Indiana,"['Frango', 'Leite de coco', 'Curry em pó', 'Cebola', 'Alho']",Aves,Jantar,40,Médio,300,3g,250mg,25g,10g,1
Tiramisù,Italiana,"['Biscoito champanhe', 'Café', 'Queijo mascarpone', 'Ovo', 'Chocolate']",Sobremesa,Lanche,30,Médio,350,15g,50mg,5g,30g,1
Sopa de Tomate,Internacional,"['Tomate', 'Cebola', 'Alho', 'Manjericão', 'Caldo de legumes']",Sopa,Almoço,25,Médio,200,8g,300mg,5g,20g,1
Salpicão,Brasileira,"['Frango desfiado', 'Maçã', 'Cenoura', 'Milho', 'Maionese']",Aves,Almoço,20,Fácil,250,5g,200mg,15g,10g,1
Massa Carbonara,Italiana,"['Espaguete', 'Ovo', 'Bacon', 'Queijo parmesão', 'Pimenta-do-reino']",Massas,Jantar,30,Médio,400,2g,300mg,20g,40g,1
Bolo de Cenoura,Internacional,"['Cenoura', 'Óleo', 'Ovo', 'Açúcar', 'Farinha de trigo']",Sobremesa,Lanche,45,Médio,300,25g,100mg,5g,35g,1
Coxinha,Brasileira,"['Frango desfiado', 'Massa de trigo', 'Leite', 'Caldo de galinha', 'Requeijão']",Aves,Lanche,60,Médio,280,3g,200mg,20g,25g,0
Yakisoba Vegetariano,Japonesa,"['Macarrão', 'Legumes', 'Cogumelos', 'Molho de soja', 'Cebolinha']",Vegetariano,Jantar,35,Médio,250,3g,150mg,10g,30g,0
Cheesecake,Internacional,"['Biscoito', 'Cream cheese', 'Açúcar', 'Ovo', 'Creme de leite']",Sobremesa,Lanche,50,Médio,350,30g,200mg,5g,40g,1
Peixe ao Molho de Maracujá,Brasileira,"['Filé de peixe', 'Maracujá', 'Cebola', 'Alho', 'Azeite']",Peixes,Jantar,30,Médio,200,4g,250mg,20g,5g,0
Salada de Atum,Internacional,"['Atum em lata', 'Batata', 'Ovo', 'Azeitona', 'Maionese']",Peixes,Almoço,25,Fácil,220,5g,150mg,15g,20g,0
Pavê,Internacional,"['Biscoito', 'Creme de leite', 'Leite condensado', 'Chocolate', 'Rum']",Sobremesa,Lanche,40,Médio,300,25g,50mg,5g,35g,1
Arroz de Pato,Portuguesa,"['Arroz', 'Pato', 'Chouriço', 'Cebola', 'Alho']",Aves,Jantar,60,Médio,400,1g,300mg,30g,50g,0
Salada de Grão-de-bico,Internacional,"['Grão-de-bico', 'Tomate', 'Pepino', 'Cebola roxa', 'Salsinha']",Salada,Almoço,20,Fácil,250,5g,200mg,10g,30g,0
Strudel de Maçã,Alemã,"['Massa folhada', 'Maçã', 'Açúcar', 'Canela', 'Uvas-passas']",Sobremesa,Lanche,45,Médio,300,20g,100mg,3g,40g,1
Peito de Frango Grelhado,Internacional,"['Peito de frango', 'Limão', 'Azeite', 'Alho', 'Ervas finas']",Aves,Almoço,25,Fácil,200,0g,250mg,30g,5g,0
Lasanha à Bolonhesa,Italiana,"['Massa para lasanha', 'Carne moída', 'Molho de tomate', 'Queijo', 'Cebola']",Carne,Jantar,50,Médio,350,3g,300mg,25g,20g,0
Mousse de Maracujá,Internacional,"['Maracujá', 'Leite condensado', 'Creme de leite', 'Gelatina', 'Açúcar']",Sobremesa,Lanche,40,Médio,250,30g,50mg,3g,25g,0
Ovos Mexidos com Bacon,Internacional,"['Ovo', 'Bacon', 'Manteiga', 'Pimenta', 'Sal']",Carne,Café da manhã,15,Fácil,280,1g,200mg,15g,10g,1
Bobó de Camarão,Brasileira,"['Camarão', 'Mandioca', 'Leite de coco', 'Tomate', 'Cebola']",Peixes,Jantar,45,Médio,350,3g,200mg,25g,30g,1
Rocambole de Carne Moída,Brasileira,"['Carne moída', 'Ovo', 'Farinha de rosca', 'Queijo', 'Presunto']",Carne,Almoço,40,Médio,300,2g,250mg,20g,10g,0
Cuscuz Paulista,Brasileira,"['Farinha de milho', 'Sardinha', 'Ovo', 'Tomate', 'Pimentão']",Peixes,Almoço,60,Médio,280,2g,300mg,15g,25g,0
Frango Xadrez,Chinesa,"['Frango', 'Pimentão', 'Cebola', 'Molho de soja', 'Amendoim']",Aves,Jantar,30,Médio,320,3g,200mg,30g,10g,0
Bacalhoada,Portuguesa,"['Bacalhau', 'Batata', 'Cebola', 'Pimentão', 'Azeitona']",Peixes,Jantar,50,Médio,300,3g,250mg,25g,15g,0
Quiche Lorraine,Francesa,"['Massa de quiche', 'Bacon', 'Queijo gruyère', 'Creme de leite', 'Ovo']",Carne,Almoço,50,Médio,350,2g,200mg,20g,30g,0
Sopa de Legumes,Internacional,"['Batata', 'Cenoura', 'Abobrinha', 'Chuchu', 'Tomate']",Sopa,Almoço,35,Médio,180,6g,150mg,5g,20g,0
Torta de Limão Siciliano,Internacional,"['Biscoito', 'Leite condensado', 'Limão siciliano', 'Creme de leite', 'Açúcar']",Sobremesa,Lanche,40,Médio,300,25g,100mg,5g,30g,1
Feijoada,Brasileira,"['Feijão preto', 'Carne seca', 'Linguiça', 'Costela de porco', 'Farinha de mandioca']",Carne,Almoço,120,Avançado,400,2g,300mg,30g,40g,1
Pizza de Calabresa,Italiana,"['Massa de pizza', 'Molho de tomate', 'Calabresa', 'Muçarela', 'Cebola']",Carne,Jantar,35,Médio,380,4g,280mg,20g,30g,0
Moqueca de Peixe,Brasileira,"['Peixe', 'Leite de coco', 'Pimentão', 'Tomate', 'Cebola']",Peixes,Jantar,50,Médio,320,3g,200mg,25g,15g,1
Ratatouille Provençal,Francesa,"['Abobrinha', 'Berinjela', 'Pimentão', 'Tomate', 'Cebola']",Vegetariano,Almoço,40,Médio,200,4g,150mg,5g,20g,0
Sanduíche de Rosbife,Internacional,"['Pão', 'Rosbife', 'Mostarda', 'Rúcula', 'Tomate']",Carne,Lanche,15,Fácil,250,2g,200mg,20g,25g,0
Salada de Abacate,Internacional,"['Abacate', 'Tomate', 'Cebola roxa', 'Coentro', 'Limão']",Salada,Almoço,20,Fácil,180,3g,150mg,2g,10g,0
Empadão Goiano,Brasileira,"['Massa para empadão', 'Frango', 'Linguiça', 'Milho', 'Requeijão']",Aves,Jantar,60,Médio,300,3g,250mg,25g,15g,1
Arroz Carreteiro,Brasileira,"['Arroz', 'Carne seca', 'Cebola', 'Tomate', 'Pimentão']",Carne,Almoço,45,Médio,280,2g,200mg,20g,30g,0
Peixe Empanado,Internacional,"['Filé de peixe', 'Farinha de rosca', 'Ovo', 'Limão', 'Sal']",Peixes,Almoço,25,Fácil,220,1g,250mg,20g,5g,0
Torta Holandesa,Internacional,"['Biscoito', 'Manteiga', 'Cream cheese', 'Açúcar', 'Chocolate']",Sobremesa,Lanche,50,Médio,350,30g,100mg,5g,30g,1
Yakisoba de Legumes,Japonesa,"['Macarrão', 'Legumes', 'Molho de soja', 'Cebolinha', 'Gengibre']",Vegetariano,Jantar,30,Médio,250,3g,150mg,10g,25g,1
Galette de Legumes,Francesa,"['Massa folhada', 'Abobrinha', 'Tomate', 'Cebola', 'Queijo']",Vegetariano,Almoço,40,Médio,280,2g,200mg,10g,25g,0
Frango à Parmegiana,Italiana,"['Peito de frango', 'Molho de tomate', 'Queijo muçarela', 'Queijo parmesão', 'Farinha de rosca']",Aves,Jantar,45,Médio,320,3g,250mg,30g,10g,1
Ravioli de Carne,Italiana,"['Massa para ravioli', 'Carne moída', 'Queijo', 'Molho de tomate', 'Manjericão']",Carne,Jantar,50,Médio,350,4g,300mg,25g,20g,0
Salmão ao Molho de Maracujá,Internacional,"['Filé de salmão', 'Maracujá', 'Azeite', 'Alho', 'Sal']",Peixes,Jantar,30,Médio,300,2g,200mg,25g,5g,1
Berinjela à Parmegiana,Italiana,"['Berinjela', 'Molho de tomate', 'Queijo muçarela', 'Queijo parmesão', 'Farinha de rosca']",Vegetariano,Jantar,40,Médio,250,2g,150mg,15g,10g,1
Tortilha Espanhola,Espanhola,"['Batata', 'Ovo', 'Cebola', 'Azeite', 'Sal']",Vegetariano,Café da manhã,35,Médio,200,2g,180mg,8g,20g,0
Ceviche de Peixe Branco,Peruana,"['Peixe branco', 'Limão', 'Cebola roxa', 'Pimentão', 'Coentro']",Peixes,Almoço,25,Fácil,150,1g,120mg,20g,5g,1
Moussaka,Grega,"['Berinjela', 'Carne moída', 'Molho de tomate', 'Queijo', 'Leite']",Carne,Jantar,60,Médio,300,3g,250mg,20g,15g,1
Salada de Lentilha,Internacional,"['Lentilha', 'Tomate', 'Cebola', 'Pimentão', 'Salsinha']",Salada,Almoço,20,Fácil,180,3g,150mg,10g,25g,0
Torta de Frango com Catupiry,Brasileira,"['Massa de torta', 'Frango desfiado', 'Requeijão', 'Milho', 'Azeitona']",Aves,Lanche,50,Médio,320,3g,200mg,15g,30g,1
Crepe de Chocolate,Francês,"['Farinha de trigo', 'Ovo', 'Leite', 'Chocolate', 'Açúcar']",Sobremesa,Lanche,30,Fácil,250,20g,100mg,5g,30g,1
Quibe de Abóbora,Árabe,"['Abóbora', 'Trigo para quibe', 'Cebola', 'Salsinha', 'Hortelã']",Vegetariano,Almoço,40,Médio,200,3g,150mg,5g,20g,0
Arroz Doce,Internacional,"['Arroz', 'Leite', 'Açúcar', 'Canela', 'Leite condensado']",Sobremesa,Lanche,45,Médio,300,25g,100mg,5g,40g,1
Ensopado de Cordeiro,Mediterrâneo,"['Carne de cordeiro', 'Batata', 'Cenoura', 'Cebola', 'Alho']",Carne,Almoço,50,Médio,350,2g,250mg,30g,20g,0
Salada Grega,Grega,"['Alface', 'Tomate', 'Pepino', 'Azeitona', 'Queijo feta']",Salada,Almoço,20,Fácil,180,4g,150mg,5g,15g,1
Empadão de Palmito,Brasileira,"['Massa para empadão', 'Palmito', 'Azeitona', 'Tomate', 'Cebola']",Vegetariano,Jantar,45,Médio,250,2g,200mg,10g,30g,0
Kibe Assado,Árabe,"['Trigo para kibe', 'Carne moída', 'Cebola', 'Hortelã', 'Pimenta síria']",Carne,Jantar,40,Médio,280,3g,180mg,25g,15g,0
Brigadeiro de Colher,Brasileira,"['Leite condensado', 'Chocolate em pó', 'Manteiga', 'Granulado']",Sobremesa,Lanche,30,Fácil,200,20g,50mg,3g,30g,1
Peixe à Belle Meunière,Francesa,"['Filé de peixe', 'Manteiga', 'Farinha de trigo', 'Limão', 'Salsinha']",Peixes,Jantar,35,Médio,300,1g,200mg,25g,5g,0
Sopa de Abóbora,Internacional,"['Abóbora', 'Cebola', 'Alho', 'Caldo de legumes', 'Creme de leite']",Sopa,Almoço,30,Médio,180,4g,250mg,3g,15g,0
Frango Assado com Ervas,Internacional,"['Frango inteiro', 'Alecrim', 'Tomilho', 'Sálvia', 'Limão']",Aves,Almoço,60,Médio,320,0g,300mg,25g,5g,1
Risoto de Funghi,Italiana,"['Arroz arbóreo', 'Cogumelos funghi secos', 'Cebola', 'Vinho branco', 'Queijo parmesão']",Vegetariano,Jantar,40,Médio,350,3g,200mg,10g,30g,0
Yakimeshi,Japonesa,"['Arroz', 'Frango', 'Legumes', 'Ovo', 'Molho de soja']",Carne,Almoço,25,Fácil,280,3g,200mg,15g,25g,0
Carne de Sol na Nata,Nordestina,"['Carne de sol', 'Creme de leite', 'Manteiga de garrafa', 'Cebola', 'Alho']",Carne,Almoço,50,Médio,300,2g,250mg,30g,5g,0
Lasanha de Berinjela,Italiana,"['Berinjela', 'Molho de tomate', 'Queijo muçarela', 'Queijo parmesão', 'Manjericão']",Vegetariano,Jantar,45,Médio,280,2g,200mg,20g,15g,1
Strogonoff de Cogumelos,Internacional,"['Cogumelos', 'Creme de leite', 'Cebola', 'Mostarda', 'Molho inglês']",Vegetariano,Almoço,30,Médio,200,3g,180mg,5g,20g,0
Coxinha de Jaca,Brasileira,"['Jaca verde', 'Farinha de trigo', 'Leite', 'Caldo de legumes', 'Requeijão vegano']",Vegetariano,Lanche,50,Médio,250,2g,150mg,15g,25g,1
Paella Valenciana,Espanhola,"['Arroz', 'Frango', 'Linguíça', 'Camarão', 'Pimentão']",Peixes,Jantar,60,Médio,380,2g,300mg,25g,30g,1
Baião de Dois,Nordestina,"['Arroz', 'Feijão', 'Queijo coalho', 'Carne seca', 'Creme de leite']",Carne,Almoço,45,Médio,320,2g,250mg,20g,30g,1
Bruschetta,Italiana,"['Pão italiano', 'Tomate', 'Manjericão', 'Alho', 'Azeite']",Vegetariano,Lanche,20,Fácil,180,3g,150mg,5g,20g,1
Torta de Frutas Vermelhas,Internacional,"['Massa para torta', 'Frutas vermelhas', 'Açúcar', 'Amido de milho', 'Geléia de frutas']",Sobremesa,Lanche,50,Médio,280,30g,50mg,2g,35g,0
Estrogonofe de Palmito,Brasileira,"['Palmito', 'Creme de leite', 'Cebola', 'Ketchup', 'Mostarda']",Vegetariano,Almoço,40,Médio,250,2g,200mg,15g,10g,0
Ratatouille de Legumes,Francesa,"['Berinjela', 'Abobrinha', 'Pimentão', 'Tomate', 'Cebola']",Vegetariano,Almoço,35,Médio,200,3g,150mg,5g,20g,0
Escondidinho de Carne Seca,Brasileira,"['Carne seca', 'Mandioca', 'Queijo coalho', 'Leite', 'Creme de leite']",Carne,Jantar,50,Médio,300,3g,250mg,25g,10g,0
Yogurt Parfait,Internacional,"['Iogurte natural', 'Frutas', 'Granola', 'Mel', 'Amêndoas']",Sobremesa,Lanche,15,Fácil,200,25g,50mg,5g,20g,0
Frango à Caçadora,Italiana,"['Peito de frango', 'Tomate', 'Cebola', 'Cogumelos', 'Vinho branco']",Aves,Almoço,40,Médio,280,2g,200mg,25g,5g,0
Risoto de Aspargos,Italiana,"['Arroz arbóreo', 'Aspargos', 'Caldo de legumes', 'Vinho branco', 'Queijo parmesão']",Vegetariano,Almoço,35,Médio,300,3g,200mg,10g,30g,0
Moqueca de Camarão,Brasileira,"['Camarão', 'Leite de coco', 'Pimentão', 'Tomate', 'Cebola']",Peixes,Jantar,50,Médio,320,3g,200mg,25g,10g,0
Arroz à Piamontese,Italiana,"['Arroz', 'Presunto', 'Queijo', 'Creme de leite', 'Cebola']",Carne,Almoço,30,Médio,280,2g,180mg,15g,20g,1
Sorvete de Chocolate,Internacional,"['Leite', 'Creme de leite', 'Chocolate em barra', 'Açúcar', 'Gemas']",Sobremesa,Lanche,45,Médio,200,20g,50mg,5g,30g,1
Frango ao Curry Indiano,Indiana,"['Frango', 'Leite de coco', 'Curry em pó', 'Cebola', 'Alho']",Aves,Jantar,40,Médio,300,3g,250mg,25g,10g,0
Salada de Couscous Marroquino,Marroquina,"['Couscous marroquino', 'Tomate', 'Pepino', 'Salsinha', 'Hortelã']",Salada,Almoço,25,Fácil,200,3g,150mg,5g,25g,1
Coxinha de Frango,Brasileira,"['Frango desfiado', 'Massa de trigo', 'Leite', 'Caldo de galinha', 'Requeijão']",Aves,Lanche,60,Médio,280,3g,200mg,20g,25g,0
Cheesecake de Morango,Internacional,"['Biscoito', 'Cream cheese', 'Açúcar', 'Ovo', 'Morango']",Sobremesa,Lanche,50,Médio,350,30g,200mg,5g,40g,0
Peixe Empanado com Fubá,Brasileira,"['Filé de peixe', 'Fubá', 'Ovo', 'Limão', 'Sal']",Peixes,Almoço,25,Fácil,220,1g,250mg,20g,5g,0
Yakisoba de Frango,Japonesa,"['Macarrão', 'Frango', 'Legumes', 'Molho de soja', 'Cebolinha']",Aves,Jantar,35,Médio,250,3g,150mg,10g,25g,1
Churrasco de Carneiro,Internacional,"['Carneiro', 'Limão', 'Azeite', 'Alho', 'Salsinha']",Carne,Almoço,50,Médio,400,2g,300mg,30g,50g,0
Farofa de Banana,Brasileira,"['Farinha de mandioca', 'Banana', 'Manteiga', 'Cebola', 'Salsinha']",Vegetariano,Acompanhamento,20,Fácil,180,5g,100mg,2g,30g,1
Vatapá,Baiana,"['Pão', 'Camarão seco', 'Amendoim', 'Leite de coco', 'Dendê']",Peixes,Almoço,45,Médio,300,2g,250mg,20g,10g,0
Ravioli de Ricota e Espinafre,Italiana,"['Massa para ravioli', 'Ricota', 'Espinafre', 'Noz-moscada', 'Queijo parmesão']",Vegetariano,Jantar,50,Médio,350,4g,300mg,25g,20g,0
Salada de Macarrão Integral,Internacional,"['Macarrão integral', 'Tomate', 'Cenoura', 'Ervilha', 'Molho de iogurte']",Salada,Almoço,25,Fácil,200,3g,150mg,5g,20g,0
Omelete de Espinafre,Internacional,"['Ovo', 'Espinafre', 'Queijo', 'Tomate', 'Cebola']",Vegetariano,Café da manhã,20,Fácil,180,2g,120mg,10g,5g,1
Picanha na Chapa,Brasileira,"['Picanha', 'Sal grosso', 'Limão', 'Alho', 'Pimenta-do-reino']",Carne,Almoço,40,Médio,350,0g,280mg,25g,0g,1
Torta de Legumes,Internacional,"['Massa para torta', 'Abobrinha', 'Cenoura', 'Ervilha', 'Queijo']",Vegetariano,Lanche,50,Médio,300,3g,200mg,15g,25g,0
Frango com Batata Doce Assada,Internacional,"['Peito de frango', 'Batata doce', 'Azeite', 'Tomilho', 'Pimenta']",Aves,Almoço,45,Médio,320,1g,250mg,30g,20g,1
Arroz de Carreteiro,Brasileira,"['Arroz', 'Carne seca', 'Cebola', 'Tomate', 'Pimentão']",Carne,Almoço,40,Médio,300,2g,200mg,20g,30g,1
Sobremesa de Abacaxi,Internacional,"['Abacaxi', 'Açúcar', 'Canela', 'Cravo', 'Leite condensado']",Sobremesa,Lanche,30,Médio,250,20g,50mg,2g,40g,0
Nhoque de Batata,Italiana,"['Batata', 'Farinha de trigo', 'Ovo', 'Queijo parmesão', 'Molho de tomate']",Massas,Almoço,60,Médio,350,2g,200mg,10g,40g,0
Frango ao Molho de Mostarda,Internacional,"['Peito de frango', 'Mostarda', 'Creme de leite', 'Cebola', 'Alho']",Aves,Jantar,40,Médio,280,2g,180mg,25g,10g,1
Quiche de Alho-poró,Francesa,"['Massa para quiche', 'Alho-poró', 'Creme de leite', 'Ovo', 'Queijo']",Vegetariano,Almoço,40,Médio,300,2g,150mg,15g,25g,1
Beijinho de Coco,Brasileira,"['Leite condensado', 'Coco ralado', 'Manteiga', 'Açúcar', 'Cravo']",Sobremesa,Lanche,25,Fácil,200,25g,20mg,2g,30g,1
Estrogonofe de Camarão,Internacional,"['Camarão', 'Creme de leite', 'Molho de tomate', 'Cebola', 'Mostarda']",Peixes,Almoço,45,Médio,300,2g,200mg,25g,5g,1
Farofa de Bacon,Brasileira,"['Farinha de mandioca', 'Bacon', 'Cebola', 'Cheiro-verde', 'Manteiga']",Acompanhamento,Almoço,25,Fácil,180,2g,150mg,5g,20g,0
Bobó de Frango,Brasileira,"['Frango', 'Mandioca', 'Leite de coco', 'Tomate', 'Cebola']",Aves,Almoço,40,Médio,320,2g,200mg,25g,15g,0
Torta de Limão Merengada,Internacional,"['Biscoito', 'Leite condensado', 'Limão', 'Creme de leite', 'Açúcar']",Sobremesa,Lanche,45,Médio,300,25g,100mg,5g,30g,0
Camarão na Moranga,Brasileira,"['Camarão', 'Moranga', 'Requeijão', 'Creme de leite', 'Azeite']",Peixes,Jantar,50,Médio,350,1g,250mg,25g,5g,0
Escondidinho de Carne Moída,Brasileira,"['Carne moída', 'Mandioca', 'Queijo', 'Leite', 'Creme de leite']",Carne,Jantar,50,Médio,300,3g,250mg,25g,10g,1
Yakissoba de Legumes e Frango,Japonesa,"['Macarrão', 'Legumes', 'Frango', 'Molho de soja', 'Cebolinha']",Aves,Jantar,35,Médio,250,3g,150mg,15g,25g,0
Rocambole de Carne,Brasileira,"['Carne moída', 'Ovo', 'Presunto', 'Queijo', 'Cenoura']",Carne,Almoço,50,Médio,320,3g,200mg,20g,30g,0
Torta de Banana,Internacional,"['Massa para torta', 'Banana', 'Açúcar', 'Canela', 'Leite']",Sobremesa,Lanche,45,Médio,280,20g,50mg,5g,30g,1
